Analysis,Fragmentation,Emotion,Statistic,P-value,Direction
T-test (Stationary),Stationary_index,WORRY,2.116,0.0366,"High: 2.29, Low: 1.95"
T-test (Mobile),Mobile_index,WORRY,2.077,0.0405,"High: 2.28, Low: 1.92"
